board_size,player1_strategy,player2_strategy,winner
5,minimaxsimple,minimax,Black
5,minimaxsimple,minimax,Black
5,minimaxsimple,minimax,Black
5,minimaxsimple,minimax,White
5,minimaxsimple,minimax,White
5,minimaxsimple,minimax,Black
5,minimaxsimple,minimax,Black
5,minimaxsimple,minimax,Black
5,minimaxsimple,minimax,White
5,minimaxsimple,minimax,White
8,random,minimaxab,White
8,random,minimaxab,White
8,random,minimaxab,Black
8,random,minimaxab,White
8,random,minimaxab,Black
8,random,minimaxab,Black
8,random,minimaxab,White
8,random,minimaxab,Black
8,random,minimaxab,White
8,random,minimaxab,White
8,random,montecarlo,White
8,random,montecarlo,Black
8,random,montecarlo,White
8,random,montecarlo,White
8,random,montecarlo,White
6,minimax,minimaxab,White
6,minimax,minimaxab,White
6,minimax,minimaxab,White
6,minimax,minimaxab,White
6,minimax,minimaxab,White
6,minimax,minimaxab,White
6,minimax,minimaxab,White
6,minimax,minimaxab,White
6,minimax,minimaxab,White
4,minimaxab,montecarlo,Black
4,minimaxab,montecarlo,Black
4,minimaxab,montecarlo,Black
8,montecarlo,random,White
8,montecarlo,random,Black
8,montecarlo,random,Black
8,montecarlo,random,Black
8,montecarlo,random,White
8,montecarlo,random,White
10,montecarlo,random,White
10,montecarlo,random,Black
10,montecarlo,random,White
10,montecarlo,random,White
10,montecarlo,random,White
10,montecarlo,random,White
5,random,montecarlo,Black
5,random,montecarlo,White
5,random,montecarlo,Black
5,random,montecarlo,White
5,random,montecarlo,Black
5,random,montecarlo,White
8,random,montecarlo,White
8,random,montecarlo,White
8,random,montecarlo,Black
8,random,minimax,White
8,random,minimax,Black
8,random,minimax,Black
8,random,minimax,Black
8,random,minimax,Black
8,random,minimax,Black
8,random,minimaxab,Black
8,random,minimaxab,White
8,random,minimaxab,White
8,random,minimaxab,Black
8,random,minimaxab,Black
8,random,minimaxab,Black
8,random,montecarlo,Black
8,random,montecarlo,Black
8,random,montecarlo,White
8,random,montecarlo,Black
4,random,qlearning,Black
4,random,qlearning,Black
4,random,qlearning,White
8,random,qlearning,White
8,random,qlearning,Black
8,random,qlearning,Black
8,random,qlearning,Black
8,random,qlearning,Black
8,random,qlearning,White
8,minimaxab,random,Black
8,minimaxab,random,White
8,minimaxab,random,Black
8,minimaxab,random,Black
8,minimaxab,random,Black
8,minimaxab,random,Black
8,montecarlo,random,White
8,montecarlo,random,Black
8,montecarlo,random,Black
8,montecarlo,random,Black
8,montecarlo,random,Black
8,montecarlo,random,Black
8,random,qlearning,White
8,random,qlearning,Black
8,random,qlearning,White
8,random,qlearning,White
8,random,qlearning,White
8,random,qlearning,White
8,minimax,random,White
8,minimax,random,Black
8,minimax,random,Black
8,minimax,random,Black
8,minimax,random,Black
8,minimax,random,Black
10,minimaxab,montecarlo,Black
10,minimaxab,montecarlo,Black
10,minimaxab,montecarlo,Black
10,minimaxab,montecarlo,Black
10,minimaxab,montecarlo,Black
10,minimaxab,montecarlo,Black
10,minimaxab,qlearning,Black
10,minimaxab,qlearning,Black
10,minimaxab,qlearning,Black
10,qlearning,minimaxab,Black
10,qlearning,minimaxab,Black
10,qlearning,minimaxab,Black
10,qlearning,montecarlo,White
10,qlearning,montecarlo,White
10,qlearning,montecarlo,White
10,qlearning,montecarlo,Black
10,qlearning,montecarlo,Black
10,qlearning,montecarlo,Black
10,qlearning,montecarlo,White
10,qlearning,montecarlo,Black
8,human,qlearning,Black
8,human,qlearning,Black
8,human,qlearning,Black
8,human,qlearning,Black
15,human,qlearning,Black
15,human,qlearning,Black
15,human,qlearning,Black
15,human,qlearning,Black
25,human,qlearning,Black
25,human,qlearning,Black
25,human,qlearning,Black
25,human,qlearning,Black
26,random,qlearning,Black
26,random,qlearning,Black
25,minimaxplus,qlearning,Black
25,minimaxplus,qlearning,Black
8,qlearning,montecarlo,White
8,qlearning,montecarlo,White
8,qlearning,montecarlo,Black
8,qlearning,montecarlo,White
8,qlearning,montecarlo,Black
8,qlearning,montecarlo,White
5,minimaxplus,qlearning,Black
5,minimaxplus,qlearning,Black
7,minimaxplus,qlearning,White
7,minimaxplus,qlearning,White
7,minimaxplus,qlearning,White
7,minimaxplus,qlearning,Black
7,minimaxplus,qlearning,White
7,minimaxplus,qlearning,White
7,minimaxplus,qlearning,Black
7,minimaxplus,qlearning,Black
7,minimaxplus,qlearning,White
10,minimaxplus,qlearning,Black
10,minimaxplus,qlearning,White
10,minimaxplus,qlearning,White
10,minimaxplus,qlearning,White
10,minimaxplus,qlearning,Black
10,minimaxplus,qlearning,Black
10,minimaxplus,qlearning,Black
10,minimaxplus,qlearning,Black
10,minimaxplus,qlearning,Black
10,minimaxplus,qlearning,Black
5,minimaxplus,qlearning,White
5,minimaxplus,qlearning,Black
5,minimaxplus,qlearning,White
5,minimax,qlearning,Black
5,minimax,qlearning,Black
5,minimax,qlearning,Black
5,minimax,qlearning,Black
10,qlearning,random,White
10,qlearning,random,Black
10,qlearning,random,White
10,qlearning,random,White
10,qlearning,random,Black
10,qlearning,random,Black
10,qlearning,random,White
10,qlearning,random,White
10,qlearning,random,White
10,qlearning,random,Black
